,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
6662,22.13,22.48,0.15,67.0,1.1421501706484645,0.5800000000000001,-0.89,21.7,-0.79,18.2,1,no change,6.0
6682,22.39,22.88,0.19,60.0,1.1918088737201364,0.51,-1.01,26.7,-0.95,24.1,1,no change,6.0
6684,23.09,23.5,0.12,59.0,1.3407849829351537,0.29,-1.08,29.7,-1.02,27.1,1,no change,6.0
6688,23.64,23.72,0.16,53.0,1.241467576791809,0.36,-1.04,27.9,-0.97,25.0,1,no change,5.0
6698,22.76,23.36,0.2,58.0,1.241467576791809,0.5,-0.94,23.6,-0.9,22.2,1,no change,5.0
6703,23.26,23.55,0.16,59.0,1.1918088737201364,0.42,-0.94,23.7,-0.86,20.6,1,no change,5.0
6717,22.39,23.34,0.16,48.0,1.4897610921501698,0.35,-1.0,26.0,-1.04,27.7,1,no change,5.0
6720,23.7,23.95,0.1,49.0,1.0428327645051196,0.39,-1.05,28.5,-1.05,28.5,1,cooler,3.0
6721,23.41,23.62,0.15,50.0,1.241467576791809,0.41,-0.95,24.0,-0.88,21.3,1,no change,5.0
6724,23.4,24.03,0.25,50.0,1.0428327645051196,0.4900000000000001,-1.31,41.0,-1.22,36.1,1,no change,5.0
6726,23.15,23.87,0.1,49.0,1.241467576791809,0.35,-0.98,25.5,-0.88,21.2,1,no change,6.0
6740,22.239999999999995,22.52,0.12,50.0,1.1918088737201364,0.36,-1.43,47.1,-1.31,40.9,1,no change,5.0
6741,22.62,23.28,0.12,51.0,1.2911262798634808,0.45,-0.87,21.1,-0.82,19.1,1,no change,5.0
6745,21.670000000000005,22.31,0.11,49.0,1.1918088737201364,0.31,-1.72,63.1,-1.61,56.8,1,no change,6.0
6746,22.69,23.26,0.1,47.0,1.241467576791809,0.4,-1.04,27.6,-0.93,23.2,0,cooler,3.0
6749,24.16,24.469999999999995,0.11,47.0,1.241467576791809,0.26,-1.0,26.1,-0.89,21.8,0,warmer,5.0
6752,22.29,23.0,0.17,49.0,1.241467576791809,0.55,-0.93,23.4,-0.89,21.6,0,warmer,1.0
6845,22.2,22.65,0.19,51.0,1.241467576791809,0.37,-1.59,55.6,-1.51,51.7,0,cooler,2.0
6847,22.75,23.02,0.15,51.0,1.0428327645051196,0.5,-1.28,39.4,-1.13,32.1,1,no change,6.0
6856,22.04,22.469999999999995,0.11,51.0,1.0428327645051196,0.48,-1.41,45.9,-1.41,45.9,1,no change,5.0
