,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
95110,26.9,26.1,0.11,53.0,1.6,0.37,0.51,10.5,0.24,6.2,1,no change,5.0
95111,26.3,25.0,0.12,50.0,2.0,0.55,0.87,21.1,0.38,7.9,1,cooler,2.0
95118,26.6,25.5,0.15,55.0,1.2,0.77,0.68,14.7,0.59,12.2,1,no change,4.0
95120,26.6,25.5,0.15,55.0,2.0,0.69,1.12,31.6,0.61,12.9,1,warmer,3.0
95123,26.6,25.5,0.15,55.0,1.2,0.73,0.63,13.2,0.53,10.9,1,cooler,2.0
95124,26.8,25.5,0.13,53.0,1.2,0.76,0.7,15.4,0.64,13.5,1,cooler,3.0
95131,26.1,27.1,0.18,52.0,1.0,0.72,0.39,8.2,0.4,8.4,1,no change,4.0
95132,26.1,27.1,0.18,52.0,1.2,0.59,0.44,9.0,0.32,7.2,1,no change,3.0
95133,26.1,27.1,0.18,52.0,1.2,0.55,0.37,7.8,0.25,6.3,1,cooler,4.0
95134,26.1,27.1,0.18,52.0,1.2,0.6,0.46,9.3,0.34,7.4,0,cooler,3.0
95135,26.1,27.1,0.18,52.0,1.2,0.56,0.39,8.1,0.27,6.5,1,no change,4.0
95137,26.1,27.1,0.18,52.0,1.2,0.55,0.37,7.8,0.25,6.3,1,no change,3.0
95138,26.1,27.1,0.18,52.0,1.2,0.55,0.37,7.8,0.25,6.3,1,no change,4.0
95142,26.1,26.1,0.2,58.0,1.2,0.62,0.39,8.2,0.26,6.4,1,no change,4.0
95143,26.1,26.1,0.2,58.0,1.2,0.59,0.34,7.4,0.21,5.9,1,no change,5.0
95147,26.2,28.4,0.53,46.0,1.6,0.65,0.68,14.8,0.13,5.3,1,no change,5.0
95148,26.2,28.4,0.53,46.0,1.2,0.44,-0.14,5.4,-0.44,9.0,1,no change,4.0
95149,26.2,28.4,0.53,46.0,1.0,0.37,-0.92,22.7,-0.98,25.1,1,no change,4.0
95155,25.1,30.5,0.23,45.0,1.2,0.45,0.27,6.5,0.08,5.1,1,no change,5.0
95156,25.1,30.5,0.23,45.0,1.2,0.4,0.16,5.5,-0.03,5.0,0,cooler,3.0
95157,25.1,34.3,0.23,41.0,1.2,0.62,1.01,26.5,0.73,16.1,1,cooler,5.0
95158,25.1,34.3,0.23,41.0,1.2,0.7,1.1,30.4,0.83,19.6,1,warmer,5.0
95159,28.3,29.5,0.23,41.0,1.2,0.64,1.09,30.0,0.8,18.4,0,cooler,4.0
95160,28.3,29.5,0.23,41.0,1.2,0.64,1.09,30.0,0.8,18.4,1,cooler,4.0
95162,27.5,28.6,0.23,58.0,1.2,0.44,0.65,13.7,0.41,8.6,1,no change,5.0
95171,26.4,27.0,0.23,45.0,1.2,0.72,0.58,12.1,0.39,8.2,1,no change,5.0
95173,27.0,28.0,0.23,45.0,1.2,0.62,0.66,14.2,0.44,9.0,1,cooler,5.0
95174,27.0,28.0,0.23,45.0,1.2,0.7,0.78,17.7,0.55,11.4,1,no change,4.0
95175,27.0,28.0,0.23,45.0,1.2,0.64,0.69,15.1,0.47,9.6,0,cooler,4.0
95176,27.0,28.0,0.23,45.0,1.2,0.64,0.69,15.1,0.47,9.6,1,no change,5.0
95177,26.4,27.4,0.23,62.0,1.2,0.66,0.67,14.3,0.48,9.8,1,cooler,5.0
95178,26.4,27.4,0.23,62.0,1.2,0.56,0.49,10.1,0.32,7.1,1,cooler,3.0
95179,26.4,27.4,0.23,62.0,1.2,0.44,0.25,6.3,0.1,5.2,1,warmer,5.0
95187,27.9,28.7,0.22,52.0,1.2,0.53,0.86,20.7,0.61,12.8,1,no change,5.0
95188,30.0,30.8,0.22,48.0,1.2,0.62,1.63,58.2,1.29,39.5,1,cooler,5.0
95189,30.0,30.8,0.22,48.0,1.2,0.63,1.64,58.7,1.29,40.0,1,no change,4.0
95191,30.0,30.8,0.22,48.0,1.2,0.53,1.55,53.8,1.18,34.5,0,cooler,4.0
95192,30.0,30.8,0.22,48.0,1.2,0.66,1.67,60.0,1.33,41.6,1,cooler,4.0
95193,28.5,28.7,0.22,52.0,1.2,0.57,1.05,28.3,0.78,17.7,0,cooler,3.0
95194,28.5,28.7,0.22,52.0,1.2,0.47,0.9,22.2,0.63,13.3,1,cooler,5.0
