,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
1947,21.64,22.60095058148693,0.2033333333333333,40.55,1.4991408934707904,0.5800000000000001,-0.72,15.9,-0.81,18.9,1,no change,5.0
1951,22.88,23.42789075771604,0.1193333333333333,39.61000000000001,1.4003436426116838,0.45,-0.71,15.5,-0.71,15.7,1,no change,5.0
1952,24.046666666666667,24.43289671904656,0.1066666666666666,34.440000000000005,1.3745704467353954,0.3299999999999999,-0.69,15.1,-0.68,14.7,1,no change,5.0
1953,22.866666666666664,23.910307061823023,0.4893333333333333,35.970000000000006,1.5979381443298968,0.4605263157894739,-0.84,19.9,-1.06,28.7,1,no change,5.0
1959,22.39,22.752725253057857,0.1353333333333333,40.18,1.38745704467354,0.65,-0.47,9.7,-0.5,10.3,1,no change,3.0
1961,23.15333333333333,23.72904618062155,0.083,43.48,1.1168384879725086,0.51,-0.7,15.2,-0.7,15.2,1,no change,5.0
1966,22.513333333333325,22.638722288569387,0.204,46.67,1.3745704467353954,0.75,-0.34,7.4,-0.42,8.6,1,no change,6.0
1968,22.87,23.143531986099827,0.165,43.02,1.2671821305841924,0.7,-0.44,9.1,-0.45,9.2,1,cooler,4.0
1969,22.77333333333332,22.95008460328677,0.2336666666666667,43.260000000000005,1.4604810996563573,0.61,-0.49,10.0,-0.61,12.9,1,no change,5.0
1971,23.183333333333323,23.691566116035503,0.185,41.68,1.396048109965636,0.75,-0.11,5.3,-0.22,6.0,1,no change,5.0
1972,23.013333333333325,23.36107927992708,0.208,43.06,1.5463917525773192,0.7,-0.1,5.2,-0.29,6.7,1,no change,5.0
1973,23.48666666666666,23.157435855412423,0.2006666666666666,41.68,1.537800687285223,0.8400000000000001,0.17,5.6,-0.04,5.0,1,no change,5.0
1974,23.7,23.661227927606664,0.1266666666666666,39.74,1.4175257731958757,0.6799999999999999,-0.07,5.1,-0.15,5.5,1,no change,6.0
1975,23.396666666666665,23.555191606062504,0.1996666666666666,39.45,1.2671821305841924,0.65,-0.48,9.9,-0.52,10.6,1,no change,6.0
1976,22.78,23.42373958395656,0.2466666666666667,43.28,1.5463917525773192,0.45,-0.72,15.9,-0.86,20.6,1,no change,4.0
1977,22.78333333333332,22.687664430525896,0.2556666666666667,44.30000000000001,1.4175257731958757,0.7,-0.4,8.3,-0.52,10.5,1,no change,6.0
1978,23.396666666666665,23.630955554028777,0.1916666666666666,40.620000000000005,1.3573883161512028,0.6739999999999998,-0.28,6.6,-0.37,7.8,1,no change,5.0
1980,22.45333333333332,22.753287041043293,0.1523333333333334,39.440000000000005,1.4175257731958757,0.7899999999999999,-0.19,5.8,-0.27,6.5,1,cooler,5.0
1981,22.53,23.05238865993232,0.1653333333333333,41.71,1.2671821305841924,0.6799999999999999,-0.56,11.5,-0.55,11.4,1,no change,4.0
1983,21.65,22.301698464080484,0.1763333333333333,39.73000000000001,1.4175257731958757,0.81,-0.35,7.5,-0.43,8.8,1,no change,5.0
1984,21.62,22.167128309280297,0.1873333333333333,44.32,1.2457044673539517,0.7799999999999999,-0.65,14.0,-0.64,13.7,1,no change,6.0
1985,22.80666666666667,23.047600759257342,0.1403333333333333,40.36,1.4175257731958757,0.550909090909091,-0.55,11.3,-0.59,12.3,1,no change,5.0
1988,22.89333333333332,22.947363372263546,0.1393333333333333,43.35,1.1168384879725086,0.7799999999999999,-0.4,8.4,-0.35,7.5,1,no change,5.0
1990,23.673333333333325,24.069357939730786,0.1193333333333333,38.89,1.1168384879725086,0.91,0.08,5.1,0.13,5.3,1,warmer,4.0
1991,23.736666666666668,23.97388263641386,0.126,37.720000000000006,1.0309278350515465,0.62,-0.65,13.9,-0.65,13.9,1,no change,5.0
1992,22.49666666666667,23.363995536944287,0.1456666666666667,38.17,1.138316151202749,0.64,-0.73,16.2,-0.65,13.8,1,cooler,4.0
1993,21.88333333333333,22.917120232846628,0.1336666666666666,38.46,1.2886597938144326,0.6899999999999998,-0.59,12.4,-0.57,11.9,1,no change,6.0
1994,22.05333333333332,22.86824155497362,0.127,39.32,1.1168384879725086,0.7,-0.72,15.9,-0.62,13.0,0,warmer,3.0
1995,23.216666666666672,23.691460630049807,0.1169999999999999,37.220000000000006,1.2886597938144326,0.61,-0.43,8.8,-0.4,8.4,1,cooler,4.0
1996,23.55,23.809768614970096,0.15,40.830000000000005,1.215635738831615,0.7799999999999999,-0.16,5.6,-0.18,5.7,1,warmer,3.0
1997,23.866666666666664,23.85787095535542,0.1476666666666666,39.39,1.1168384879725086,1.2,0.42,8.7,0.4,8.3,1,no change,6.0
1998,23.05,24.127712277316103,0.2513333333333333,40.970000000000006,1.4175257731958757,0.7,-0.23,6.1,-0.39,8.2,1,no change,6.0
1999,22.54333333333332,23.010013022232464,0.1893333333333333,43.91,1.0524054982817872,1.2,0.04,5.0,0.03,5.0,1,warmer,3.0
2001,24.05333333333332,24.573605834899027,0.183,34.42,1.344501718213058,0.7799999999999999,0.06,5.1,-0.07,5.1,1,cooler,5.0
2002,23.010000000000005,23.809291840590937,0.256,36.620000000000005,1.3745704467353954,0.64,-0.48,9.8,-0.59,12.4,1,no change,5.0
2003,23.170000000000005,23.45731240842396,0.2003333333333333,36.2,1.38745704467354,0.7,-0.28,6.7,-0.39,8.1,1,no change,4.0
2004,23.506666666666664,23.63210392768948,0.1996666666666666,35.77,1.718213058419244,0.52,-0.17,5.6,-0.44,9.0,1,no change,4.0
2005,23.59,24.06507612132124,0.15,35.96,1.5678694158075597,0.6799999999999999,0.06,5.1,-0.13,5.3,1,no change,5.0
